Shape of doc-doc similarity matrix:  (1163, 1163)
Shape of term document matrix:  (3008, 1163)
******************************************************
#documents: 1163
#tokens: 3008
max number of iterations: 500
#topics: 7
alpha: 1
stop criterion: 0.1
******************************************************
loop begin
loop begin
Step=0, Loss=6417.70832621366, Time=0.055887460708618164s
Step=1, Loss=6160.920587207405, Time=0.10898852348327637s
Step=2, Loss=5805.687601339399, Time=0.15967535972595215s
Step=3, Loss=5568.157995010001, Time=0.20977067947387695s
Step=4, Loss=5411.367253363467, Time=0.2699551582336426s
Step=5, Loss=5333.408332178844, Time=0.3243083953857422s
Step=6, Loss=5296.469060155756, Time=0.37207794189453125s
Step=7, Loss=5278.269792171449, Time=0.42963433265686035s
Step=8, Loss=5267.348553607761, Time=0.4900052547454834s
Step=9, Loss=5258.560943451002, Time=0.5398368835449219s
Step=10, Loss=5249.733951747745, Time=0.5898637771606445s
Step=11, Loss=5239.894128697405, Time=0.6433007717132568s
Step=12, Loss=5229.036714521835, Time=0.7109897136688232s
Step=13, Loss=5218.662983904746, Time=0.7642319202423096s
Step=14, Loss=5210.087810356046, Time=0.8179821968078613s
Step=15, Loss=5203.986393706284, Time=0.8699450492858887s
Step=16, Loss=5200.197891908385, Time=0.930422306060791s
Step=17, Loss=5197.905998627592, Time=0.9844534397125244s
Step=18, Loss=5196.497578433137, Time=1.0346951484680176s
Step=19, Loss=5195.20556335332, Time=1.0907652378082275s
Step=20, Loss=5193.947552323381, Time=1.1399881839752197s
Step=21, Loss=5192.67029658015, Time=1.192094087600708s
Step=22, Loss=5191.30069379694, Time=1.244936227798462s
Step=23, Loss=5190.047898663511, Time=1.3122870922088623s
Step=24, Loss=5188.922720017228, Time=1.3913707733154297s
Step=25, Loss=5187.96604820165, Time=1.5036213397979736s
Step=26, Loss=5186.977761132584, Time=1.6015887260437012s
Step=27, Loss=5186.097414587365, Time=1.6647896766662598s
Step=28, Loss=5185.2558272540955, Time=1.7299563884735107s
Step=29, Loss=5184.40427292067, Time=1.7816638946533203s
Step=30, Loss=5183.468249937716, Time=1.8347272872924805s
Step=31, Loss=5182.457945070211, Time=1.8897554874420166s
Step=32, Loss=5181.395177438646, Time=1.9418022632598877s
Step=33, Loss=5180.228531089861, Time=1.9980370998382568s
Step=34, Loss=5178.926359554831, Time=2.069697856903076s
Step=35, Loss=5177.46857974975, Time=2.129716157913208s
Step=36, Loss=5175.829728164189, Time=2.202143669128418s
Step=37, Loss=5174.024014263106, Time=2.2697222232818604s
Step=38, Loss=5172.087381256764, Time=2.34104585647583s
Step=39, Loss=5170.001114111029, Time=2.401939630508423s
Step=40, Loss=5167.859268240849, Time=2.4695441722869873s
Step=41, Loss=5165.788403390377, Time=2.539815902709961s
Step=42, Loss=5163.878145749739, Time=2.601935863494873s
Step=43, Loss=5162.253171674653, Time=2.679954767227173s
Step=44, Loss=5160.98656622138, Time=2.7422964572906494s
Step=45, Loss=5160.063822397084, Time=2.8020055294036865s
Step=46, Loss=5159.432114402377, Time=2.869993209838867s
Step=47, Loss=5159.035941438286, Time=2.9195642471313477s
Step=48, Loss=5158.806025407047, Time=2.969794273376465s
Step=49, Loss=5158.702686537766, Time=3.0196280479431152s
Saved topic keywords!
Saved TSNE document embeddings!
Saved word-topic matrix heatmap!
Saved doc-topic matrix heatmap!
Saved topic coherence score!
